,Unnamed: 0,education,industry,Payroll,Emp,year,sex,state,Average_pay
76,220,Advanced Degree,Accommodation and Food Services,36601114,6137,2004,Male,Indiana,5964.01
77,221,Unavalble,Accommodation and Food Services,85314674,40946,2004,Male,Indiana,2083.59
78,222,All Education Categories,Accommodation and Food Services,345687440,127456,2004,Female,Indiana,2712.21
79,223,Less Than High School,Accommodation and Food Services,37032969,12817,2004,Female,Indiana,2889.36
80,224,High School Gradute,Accommodation and Food Services,95250848,30026,2004,Female,Indiana,3172.28
81,225,Some College,Accommodation and Food Services,77167290,22229,2004,Female,Indiana,3471.47
82,226,Advanced Degree,Accommodation and Food Services,34018325,8561,2004,Female,Indiana,3973.64
83,227,Unavalble,Accommodation and Food Services,102218008,53823,2004,Female,Indiana,1899.15
84,252,All Education Categories,00,15461842137,1414316,2005,Male,Indiana,10932.38
85,253,Less Than High School,00,1047806462,136432,2005,Male,Indiana,7680.06
86,254,High School Gradute,00,4099671019,424649,2005,Male,Indiana,9654.26
87,255,Some College,00,4377439931,375923,2005,Male,Indiana,11644.51
88,256,Advanced Degree,00,5150553122,283852,2005,Male,Indiana,18145.21
89,257,Unavalble,00,786371604,193460,2005,Male,Indiana,4064.78
90,258,All Education Categories,00,8777900754,1358633,2005,Female,Indiana,6460.83
91,259,Less Than High School,00,443169547,96328,2005,Female,Indiana,4600.63
92,260,High School Gradute,00,2177568354,383966,2005,Female,Indiana,5671.25
93,261,Some College,00,2761219153,398729,2005,Female,Indiana,6925.05
94,262,Advanced Degree,00,2769743245,270438,2005,Female,Indiana,10241.69
95,263,Unavalble,00,626200454,209172,2005,Female,Indiana,2993.71
96,312,All Education Categories,Manufacturing,5457684329,404255,2005,Male,Indiana,13500.6
97,313,Less Than High School,Manufacturing,408954611,41676,2005,Male,Indiana,9812.71
98,314,High School Gradute,Manufacturing,1712031523,144259,2005,Male,Indiana,11867.76
99,315,Some College,Manufacturing,1690473233,118719,2005,Male,Indiana,14239.28
100,316,Advanced Degree,Manufacturing,1430930153,67760,2005,Male,Indiana,21117.62
101,317,Unavalble,Manufacturing,215294809,31840,2005,Male,Indiana,6761.77
102,318,All Education Categories,Manufacturing,1573498710,173070,2005,Female,Indiana,9091.69
